Issue Key,Issue Type,Status,Priority,Summary,Description,Component/s,Affects Version/s,Fix Version/s,Assignee,Reporter,Created,Updated,Resolved,Resolution,Labels,Story Points,Epic Link,Sprint,Module,Root Cause,Defect Category,Business Impact,Customer Impact
ECOM-1042,Bug,Resolved,Medium,Product details not loading with custom attributes,Inconsistent behavior observed when product details not loading with custom attributes. The issue appears to be intermittent and affects certain user segments.,Product Images,v2.0.5,v2.1.7,lisa.taylor,admin.user,2023-01-16,2024-06-01,2024-06-01,Won't Fix,"""display,reviews""",3,,SPRINT-88,Product Management,Routing Issue,Critical,Critical,Medium
ECOM-1043,Bug,Resolved,Low,Category sorting not working in grid view,Performance degradation noticed when category sorting not working in grid view. Users are experiencing slow response times.,Mobile Navigation,v2.1.2,v2.1.6,performance.team,ui.designer,2023-06-06,2024-07-08,2024-07-08,Won't Fix,"""navigation,data""",2,,SPRINT-82,Browse Products by Category,Storage Issue,Performance,Medium,Medium
ECOM-1044,Bug,In Progress,Critical,Advanced search not functioning in different languages,Critical functionality broken for advanced search not functioning in different languages. This is causing customer complaints and potential revenue loss.,Filter System,v2.0.5,,session.team,customer.support,2023-07-16,2024-12-05,,,"pagination,autocomplete,active""",8,,SPRINT-23,Search for Products,Algorithm Issue,Enhancement,High,Medium
ECOM-1045,Bug,Closed,Critical,Payment methods not displaying with multiple payment options,System fails to properly handle payment methods not displaying with multiple payment options. Multiple users have reported this issue across different browsers.,Payment System,v2.1.9,v2.0.5,backend.dev,admin.user,2023-11-25,2024-08-12,2024-08-12,Won't Fix,"""email,order""",5,EPIC-010,SPRINT-58,Checkout and Payment,Data Mapping,UI/UX,Low,High
ECOM-1046,Bug,In Progress,High,Cart persistence problems with multiple variants,System fails to properly handle cart persistence problems with multiple variants. Multiple users have reported this issue across different browsers.,Input Validation,v2.2.2,,frontend.dev,sarah.wilson,2023-05-16,2024-12-15,,,"mobile,mobile,active""",4,,SPRINT-87,Add Products to Cart,Configuration Issue,Data Integrity,Critical,Critical
ECOM-1047,Bug,Closed,Medium,Cart persistence problems with bulk quantities,Critical functionality broken for cart persistence problems with bulk quantities. This is causing customer complaints and potential revenue loss.,Mobile UI,v2.1.7,v2.1.6,frontend.dev,data.analyst,2023-04-11,2023-05-16,2023-05-16,Won't Fix,"""cart,calculation""",2,,SPRINT-89,Add Products to Cart,Data Mapping,Functional,Low,Critical
ECOM-1048,Bug,Resolved,Medium,Cart items disappearing during peak hours,Performance degradation noticed when cart items disappearing during peak hours. Users are experiencing slow response times.,Mobile UI,v2.2.0,v2.1.1,mobile.tester,data.analyst,2024-04-25,2024-06-29,2024-06-29,Duplicate,"""mobile,ui""",3,,SPRINT-34,Add Products to Cart,Async Processing,Security,Low,Low
ECOM-1049,Bug,In Progress,High,Order shipping details wrong for bulk orders,System fails to properly handle order shipping details wrong for bulk orders. Multiple users have reported this issue across different browsers.,Order History,v2.1.1,,sarah.wilson,qa.tester,2023-07-14,2024-04-07,,,"returns,status,active""",3,,SPRINT-88,Order Management,Error Handling,Enhancement,Medium,Medium
ECOM-1050,Bug,To Do,Low,Advanced search not functioning with typos in query,Critical functionality broken for advanced search not functioning with typos in query. This is causing customer complaints and potential revenue loss.,Filter System,v2.1.9,,ui.designer,business.analyst,2023-08-15,2024-12-04,,,"autocomplete,suggestions,active""",2,,SPRINT-64,Search for Products,Routing Issue,UI/UX,Medium,Medium
ECOM-1051,Bug,Reopened,Critical,Search results not displaying correctly with multiple filters,System fails to properly handle search results not displaying correctly with multiple filters. Multiple users have reported this issue across different browsers.,Search UI,v2.2.1,,security.team,qa.tester,2024-06-29,2024-08-15,,,"""search,history""",5,,SPRINT-45,Search for Products,Logic Error,Functional,Medium,Medium
ECOM-1052,Bug,Closed,Critical,Category sorting not working with applied filters,Users experiencing issues when trying to category sorting not working with applied filters. This affects user experience and may impact conversion rates.,Product Catalog,v2.1.9,v2.1.4,backend.dev,business.analyst,2023-07-06,2024-10-17,2024-10-17,Duplicate,"""mobile,data""",8,,SPRINT-33,Browse Products by Category,Business Logic,UI/UX,Medium,Critical
ECOM-1053,Bug,Reopened,Low,Cart checkout button disabled from wishlist,Inconsistent behavior observed when cart checkout button disabled from wishlist. The issue appears to be intermittent and affects certain user segments.,Cart Logic,v2.1.6,,data.team,ui.designer,2023-04-01,2024-02-02,,,"""mobile,validation""",2,,SPRINT-6,Add Products to Cart,Async Processing,Functional,Medium,Medium
ECOM-1054,Bug,Reopened,Critical,Search performance problems with multiple filters,Users experiencing issues when trying to search performance problems with multiple filters. This affects user experience and may impact conversion rates.,Search UI,v2.2.2,,session.team,customer.support,2023-04-06,2024-12-12,,,"""history,filters""",5,,SPRINT-32,Search for Products,Configuration Issue,Data Integrity,Medium,Critical
ECOM-1055,Bug,In Progress,High,Order tracking not working for business accounts,System fails to properly handle order tracking not working for business accounts. Multiple users have reported this issue across different browsers.,Order Processing,v2.1.1,,session.team,admin.user,2024-09-16,2024-10-31,,,"tracking,status,active""",5,,SPRINT-49,Order Management,Routing Issue,Data Integrity,High,Medium
ECOM-1056,Bug,Reopened,High,Product comparison not working in different categories,Performance degradation noticed when product comparison not working in different categories. Users are experiencing slow response times.,Product Reviews,v2.1.8,,ux.team,mobile.tester,2023-03-28,2024-11-24,,,"""product,product""",5,,SPRINT-31,Product Management,Asset Loading,Security,Low,High
ECOM-1057,Bug,Closed,Medium,Order confirmation email not sent with saved payment methods,Critical functionality broken for order confirmation email not sent with saved payment methods. This is causing customer complaints and potential revenue loss.,Error Handling,v2.1.4,v2.1.9,mobile.tester,product.manager,2024-03-09,2024-10-14,2024-10-14,Duplicate,"""security,payment""",3,EPIC-007,SPRINT-43,Checkout and Payment,Calculation Error,Security,Medium,Critical
ECOM-1058,Bug,Resolved,Medium,Wishlist persistence problems for out of stock items,Critical functionality broken for wishlist persistence problems for out of stock items. This is causing customer complaints and potential revenue loss.,Wishlist Sharing,v2.1.1,v2.1.8,performance.team,sarah.wilson,2024-08-12,2024-09-30,2024-09-30,Duplicate,"""persistence,wishlist""",2,,SPRINT-70,Wishlist and Favorites,Integration Issue,Data Integrity,High,High
ECOM-1059,Bug,Reopened,Low,Order confirmation email not sent with gift cards,Critical functionality broken for order confirmation email not sent with gift cards. This is causing customer complaints and potential revenue loss.,Order System,v2.0.9,,ui.designer,finance.dept,2023-11-16,2024-02-15,,,"""order,payment""",1,EPIC-007,SPRINT-11,Checkout and Payment,Algorithm Issue,Data Integrity,Low,High
ECOM-1060,Bug,Resolved,High,Multiple items addition failing with custom options,System fails to properly handle multiple items addition failing with custom options. Multiple users have reported this issue across different browsers.,Cart Logic,v2.1.9,v2.1.1,data.team,sarah.wilson,2023-11-26,2024-02-03,2024-02-03,Won't Fix,"""mobile,session""",4,,SPRINT-97,Add Products to Cart,Business Logic,Critical,Critical,High
ECOM-1061,Bug,To Do,Critical,Category performance issues with large product catalogs,Users experiencing issues when trying to category performance issues with large product catalogs. This affects user experience and may impact conversion rates.,Navigation System,v2.0.9,,data.team,customer.support,2024-03-17,2024-10-21,,,"ui,navigation,active""",8,,SPRINT-44,Browse Products by Category,Asset Loading,Security,Critical,Critical
ECOM-1062,Bug,In Progress,High,Cart icon not updating on mobile devices,Inconsistent behavior observed when cart icon not updating on mobile devices. The issue appears to be intermittent and affects certain user segments.,Cart Calculation,v2.1.2,,performance.team,mobile.tester,2024-10-27,2024-12-30,,,"ui,mobile,active""",3,,SPRINT-3,Add Products to Cart,Async Processing,Enhancement,Medium,Low
ECOM-1063,Bug,To Do,Medium,Product details not loading for featured products,Users experiencing issues when trying to product details not loading for featured products. This affects user experience and may impact conversion rates.,Product Images,v2.0.8,,mike.johnson,customer.support,2024-07-16,2024-10-26,,,"product,images,active""",2,,SPRINT-88,Product Management,Event Handling,Functional,Critical,Medium
ECOM-1064,Bug,Closed,Low,Add to cart button not working on mobile devices,Inconsistent behavior observed when add to cart button not working on mobile devices. The issue appears to be intermittent and affects certain user segments.,Input Validation,v2.1.9,v2.0.9,mike.johnson,sarah.wilson,2024-12-11,2024-12-11,2024-12-11,Cannot Reproduce,"""ui,cart""",1,,SPRINT-51,Add Products to Cart,Algorithm Issue,Enhancement,Medium,Medium
ECOM-1065,Bug,Resolved,Medium,User preferences not saving for existing users,Critical functionality broken for user preferences not saving for existing users. This is causing customer complaints and potential revenue loss.,Password System,v2.1.3,v2.1.6,performance.team,jane.smith,2023-05-22,2024-01-07,2024-01-07,Won't Fix,"""password,login""",2,EPIC-007,SPRINT-44,User Account Management,Routing Issue,UI/UX,Medium,Low
ECOM-1066,Bug,To Do,Medium,Category sorting not working on tablet view,Critical functionality broken for category sorting not working on tablet view. This is causing customer complaints and potential revenue loss.,Category Display,v2.1.6,,data.team,ui.designer,2023-10-19,2024-11-04,,,"data,ui,active""",3,,SPRINT-15,Browse Products by Category,Routing Issue,UI/UX,Medium,Low
ECOM-1067,Bug,To Do,Medium,Order history not displaying with split shipping,Performance degradation noticed when order history not displaying with split shipping. Users are experiencing slow response times.,Order History,v2.1.0,,mike.johnson,admin.user,2023-07-16,2023-08-26,,,"order,status,active""",3,,SPRINT-99,Order Management,Data Mapping,Functional,High,Medium
ECOM-1068,Bug,In Progress,Critical,Search autocomplete failing in specific browsers,Inconsistent behavior observed when search autocomplete failing in specific browsers. The issue appears to be intermittent and affects certain user segments.,Search UI,v2.1.4,,mike.johnson,qa.tester,2024-02-03,2024-08-24,,,"search,search,active""",5,,SPRINT-28,Search for Products,Routing Issue,Security,Low,Medium
ECOM-1069,Bug,In Progress,Critical,Wishlist to cart conversion failing with large quantities,Critical functionality broken for wishlist to cart conversion failing with large quantities. This is causing customer complaints and potential revenue loss.,Wishlist Persistence,v2.1.3,,performance.team,qa.tester,2024-01-07,2024-12-12,,,"ui,favorites,active""",5,,SPRINT-62,Wishlist and Favorites,Database Query,Critical,Medium,Low
ECOM-1070,Bug,To Do,Low,Product description formatting issues for variant products,Users experiencing issues when trying to product description formatting issues for variant products. This affects user experience and may impact conversion rates.,Inventory System,v2.1.2,,backend.dev,sarah.wilson,2023-08-30,2023-10-16,,,"reviews,price,active""",1,,SPRINT-86,Product Management,Calculation Error,Enhancement,Medium,Low
ECOM-1071,Bug,Closed,Critical,Product details not loading in different categories,Performance degradation noticed when product details not loading in different categories. Users are experiencing slow response times.,Product Display,v2.1.3,v2.1.4,data.team,product.manager,2023-07-01,2024-01-07,2024-01-07,Duplicate,"""inventory,inventory""",5,,SPRINT-88,Product Management,Storage Issue,Enhancement,Medium,High
ECOM-1072,Bug,Reopened,Low,Payment error messages unclear with saved payment methods,Performance degradation noticed when payment error messages unclear with saved payment methods. Users are experiencing slow response times.,Payment Flow,v2.0.9,,qa.tester,ui.designer,2023-04-27,2023-11-27,,,"""flow,payment""",2,EPIC-009,SPRINT-3,Checkout and Payment,Integration Issue,Security,Medium,High
ECOM-1073,Bug,Open,Critical,Cart quantity not updating from search results,Critical functionality broken for cart quantity not updating from search results. This is causing customer complaints and potential revenue loss.,Input Validation,v2.2.0,,,admin.user,2024-12-01,2024-12-03,,,"ui,cart,active""",5,,SPRINT-81,Add Products to Cart,Database Sync,Data Integrity,Critical,Medium
ECOM-1074,Bug,In Progress,Low,Category images not loading for specific brands,Performance degradation noticed when category images not loading for specific brands. Users are experiencing slow response times.,Navigation System,v2.1.8,,security.team,finance.dept,2024-06-05,2024-10-14,,,"performance,performance,active""",2,,SPRINT-100,Browse Products by Category,Logic Error,Security,Low,Critical
ECOM-1075,Bug,In Progress,Critical,Payment error messages unclear during high traffic,Users experiencing issues when trying to payment error messages unclear during high traffic. This affects user experience and may impact conversion rates.,Order System,v2.1.9,,order.team,finance.dept,2023-01-16,2023-09-19,,,"order,flow,active""",8,EPIC-008,SPRINT-8,Checkout and Payment,Database Query,Enhancement,Low,Medium
ECOM-1076,Bug,Reopened,Low,Product recommendations failing with multiple images,System fails to properly handle product recommendations failing with multiple images. Multiple users have reported this issue across different browsers.,Product Reviews,v2.1.6,,sarah.wilson,mobile.tester,2024-05-19,2024-09-20,,,"""display,display""",2,,SPRINT-90,Product Management,Session Issue,UI/UX,Low,Medium
ECOM-1077,Bug,To Do,High,Order tracking not working for recurring orders,Critical functionality broken for order tracking not working for recurring orders. This is causing customer complaints and potential revenue loss.,Return System,v2.1.0,,backend.dev,business.analyst,2024-05-27,2024-12-18,,,"tracking,returns,active""",3,,SPRINT-89,Order Management,Storage Issue,Data Integrity,Medium,Critical
ECOM-1078,Bug,Resolved,Critical,Breadcrumb navigation problems with applied filters,Performance degradation noticed when breadcrumb navigation problems with applied filters. Users are experiencing slow response times.,Product Catalog,v2.1.6,v2.1.6,mike.johnson,admin.user,2023-05-18,2024-12-18,2024-12-18,Cannot Reproduce,"""mobile,mobile""",8,,SPRINT-26,Browse Products by Category,Asset Loading,UI/UX,Medium,Low
ECOM-1079,Bug,Resolved,Critical,Product recommendations failing with multiple images,Performance degradation noticed when product recommendations failing with multiple images. Users are experiencing slow response times.,Product Display,v2.1.8,v2.2.1,mobile.tester,business.analyst,2024-05-23,2024-08-27,2024-08-27,Cannot Reproduce,"""inventory,images""",5,,SPRINT-58,Product Management,Async Processing,Data Integrity,Medium,Critical
ECOM-1080,Bug,In Progress,High,Wishlist organization issues for promotional items,System fails to properly handle wishlist organization issues for promotional items. Multiple users have reported this issue across different browsers.,Favorites Management,v2.0.5,,backend.dev,finance.dept,2024-07-27,2024-10-19,,,"ui,notifications,active""",3,,SPRINT-65,Wishlist and Favorites,Business Logic,Performance,Critical,Critical
ECOM-1081,Bug,Closed,Medium,Product description formatting issues with bulk operations,Inconsistent behavior observed when product description formatting issues with bulk operations. The issue appears to be intermittent and affects certain user segments.,Product Reviews,v2.0.8,v2.1.1,mike.johnson,product.manager,2023-04-03,2023-11-16,2023-11-16,Duplicate,"""inventory,price""",3,,SPRINT-29,Product Management,Storage Issue,UI/UX,Low,Medium
ECOM-1082,Bug,Reopened,Medium,Wishlist removal not working with price alerts,Inconsistent behavior observed when wishlist removal not working with price alerts. The issue appears to be intermittent and affects certain user segments.,Wishlist Sharing,v2.1.8,,admin.user,finance.dept,2024-12-22,2024-12-28,,,"""ui,wishlist""",2,,SPRINT-84,Wishlist and Favorites,Database Query,Enhancement,Critical,Critical
ECOM-1083,Bug,Resolved,Low,Product availability wrong with complex pricing,Performance degradation noticed when product availability wrong with complex pricing. Users are experiencing slow response times.,Product Details,v2.1.0,v2.2.1,john.doe,finance.dept,2024-02-04,2024-12-15,2024-12-15,Fixed,"""reviews,images""",2,,SPRINT-37,Product Management,Database Query,Security,Low,Critical
